"","REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","strat_cora","PROT","RUGOSITY_CD","DEPTH_STRAT","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","survey_type","analysis_group","count"
"1","FLK",1177,1,2024,6,5,"CONT_MR","CFK07",0,"R4","CD2",25.70647,-80.09837,4139070,"NCRMP","NCRMP_GRP",NA
"2","FLK",1287,1,2024,6,6,"SPGR_MR","CFK11",0,"R4","CD4",25.69372,-80.08721,4134268,"NCRMP","NCRMP_NA",NA
"3","FLK",1148,1,2024,6,6,"CONT_LR","CFK06",0,"R1","CD2",25.72724,-80.10211,4146542,"NCRMP","NCRMP_GRP",NA
"4","FLK",1010,1,2024,6,6,"ISOL_LR","CFK01",0,"R1","CD0",25.71774,-80.116,4143154,"NCRMP","NCRMP_GRP",NA
"5","FLK",1180,1,2024,6,6,"CONT_MR","CFK07",0,"R4","CD2",25.72561,-80.1009,4146064,"NCRMP","NCRMP_GRP",NA
"6","FLK",1293,1,2024,6,23,"ISOL_LR","CFK01",1,"R4","CD0",24.5521,-81.693,2195795,"NCRMP","NCRMP_GRP",NA
"7","FLK",1292,1,2024,6,23,"ISOL_LR","CFK01",1,"R1","CD0",24.55295,-81.69151,2199218,"NCRMP","NCRMP_GRP",NA
"8","FLK",1259,1,2024,6,23,"CONT_MR","CFK11",0,"R4","CD4",24.46163,-81.75029,1934858,"NCRMP","NCRMP_NA",NA
"9","FLK",1396,1,2024,6,23,"SPGR_HR","CFK09",1,"R4","CD3",24.47744,-81.72008,1968207,"NCRMP","NCRMP_NA",NA
"10","FLK",1381,1,2024,6,23,"SPGR_HR","CFK07",1,"R4","CD2",24.47847,-81.71773,1970252,"NCRMP","NCRMP_GRP",NA
"11","FLK",1255,1,2024,6,24,"SPGR_MR","CFK11",0,"R4","CD4",24.54245,-81.40666,2156331,"NCRMP","NCRMP_NA",NA
"12","FLK",1301,1,2024,6,24,"ISOL_MR","CFK03",1,"R4","CD0",24.56665,-81.39101,2249251,"NCRMP","NCRMP_GRP",NA
"13","FLK",1343,1,2024,6,24,"SPGR_HR","CFK07",1,"R4","CD2",24.54432,-81.4103,2164481,"NCRMP","MIR_GRP",NA
"14","FLK",1108,1,2024,6,24,"CONT_LR","CFK05",0,"R3","CD1",24.53835,-81.45335,2143312,"NCRMP","NCRMP_GRP",NA
"15","FLK",1023,1,2024,6,24,"ISOL_MR","CFK02",0,"R4","CD0",24.57977,-81.44259,2302888,"NCRMP","NCRMP_GRP",NA
"16","FLK",1095,1,2024,6,24,"CONT_LR","CFK06",0,"R1","CD2",24.54685,-81.45883,2172673,"NCRMP","NCRMP_GRP",NA
"17","FLK",1098,1,2024,6,24,"CONT_MR","CFK07",0,"R4","CD2",24.54994,-81.43289,2184464,"NCRMP","NCRMP_GRP",NA
"18","FLK",1254,1,2024,6,25,"SPGR_HR","CFK11",0,"R4","CD4",24.5113,-81.54078,2054271,"NCRMP","NCRMP_NA",NA
"19","FLK",1260,1,2024,6,25,"SPGR_HR","CFK11",0,"R4","CD4",24.50106,-81.56212,2025559,"NCRMP","NCRMP_NA",NA
"20","FLK",1205,1,2024,6,25,"SPGR_HR","CFK09",0,"R4","CD3",24.51694,-81.53231,2072330,"NCRMP","NCRMP_NA",NA
"21","FLK",1018,1,2024,6,25,"ISOL_HR","CFK02",0,"R4","CD0",24.5479,-81.52922,2177543,"NCRMP","NCRMP_GRP",NA
"22","FLK",1161,1,2024,6,25,"SPGR_MR","CFK07",0,"R4","CD2",24.52065,-81.52703,2083815,"NCRMP","NCRMP_GRP",NA
"23","FLK",1001,1,2024,6,25,"ISOL_LR","CFK01",0,"R1","CD0",24.5845,-81.58299,2325582,"NCRMP","NCRMP_GRP",NA
"24","FLK",1470,1,2024,6,25,"CONT_MR","CFK03",0,"R4","CD0",24.52602,-81.53895,2101435,"NCRMP","NCRMP_GRP",NA
"25","FLK",1258,1,2024,6,26,"SPGR_HR","CFK11",0,"R4","CD4",24.48239,-81.65946,1978678,"NCRMP","NCRMP_NA",NA
"26","FLK",1204,1,2024,6,26,"SPGR_HR","CFK07",0,"R4","CD2",24.49036,-81.6618,1998231,"NCRMP","NCRMP_GRP",NA
"27","FLK",1312,1,2024,6,26,"SPGR_LR","CFK05",1,"R3","CD1",24.49302,-81.66352,2005046,"NCRMP","NCRMP_GRP",NA
"28","FLK",1507,1,2024,6,26,"CONT_MR","CFK07",0,"R4","CD2",24.50521,-81.61752,2038159,"NCRMP","NCRMP_GRP",NA
"29","FLK",1421,1,2024,6,26,"ISOL_MR","CFK02",0,"R4","CD0",24.51829,-81.61917,2077860,"NCRMP","NCRMP_GRP",NA
"30","FLK",1026,1,2024,6,26,"ISOL_MR","CFK02",0,"R4","CD0",24.53488,-81.60772,2131867,"NCRMP","NCRMP_GRP",NA
"31","FLK",1411,1,2024,6,26,"ISOL_MR","CFK02",0,"R4","CD0",24.52246,-81.65765,2090822,"NCRMP","NCRMP_GRP",NA
"32","FLK",1314,1,2024,6,27,"SPGR_LR","CFK07",1,"R3","CD2",24.48253,-81.70039,1979643,"NCRMP","NCRMP_GRP",NA
"33","FLK",1235,1,2024,6,27,"SPGR_MR","CFK11",0,"R4","CD4",24.43405,-81.98298,1890978,"NCRMP","NCRMP_NA",NA
"34","FLK",1096,1,2024,6,27,"ISOL_LR","CFK06",0,"R1","CD2",24.47262,-81.77247,1958127,"NCRMP","NCRMP_GRP",NA
"35","FLK",1237,1,2024,6,27,"SPGR_MR","CFK09",0,"R4","CD3",24.44529,-81.98013,1907896,"NCRMP","NCRMP_NA",NA
"36","FLK",1024,1,2024,6,27,"ISOL_HR","CFK02",0,"R4","CD0",24.46666,-82.00258,1948018,"NCRMP","NCRMP_GRP",NA
"37","FLK",1025,1,2024,6,27,"ISOL_HR","CFK02",0,"R4","CD0",24.46708,-81.95715,1948110,"NCRMP","NCRMP_GRP",NA
"38","FLK",1068,1,2024,6,27,"CONT_MR","CFK07",0,"R4","CD2",24.45458,-81.94784,1923419,"NCRMP","NCRMP_GRP",NA
"39","FLK",1157,1,2024,6,27,"CONT_MR","CFK07",0,"R4","CD2",24.45515,-81.95119,1925046,"NCRMP","NCRMP_GRP",NA
"40","FLK",1264,1,2024,7,10,"SPGR_HR","CFK11",0,"R4","CD4",24.7277,-80.80288,2948859,"NCRMP","NCRMP_NA",NA
"41","FLK",1322,1,2024,7,10,"SPGR_LR","CFK06",1,"R2","CD2",24.76487,-80.75495,3105412,"NCRMP","NCRMP_GRP",NA
"42","FLK",1323,1,2024,7,10,"SPGR_LR","CFK04",1,"R1","CD1",24.76801,-80.75091,3117904,"NCRMP","NCRMP_GRP",NA
"43","FLK",1239,1,2024,7,10,"SPGR_MR","CFK09",0,"R4","CD3",24.73187,-80.79988,2966129,"NCRMP","NCRMP_NA",NA
"44","FLK",1190,1,2024,7,10,"SPGR_HR","CFK11",0,"R4","CD4",24.76635,-80.73061,3112625,"NCRMP","NCRMP_NA",NA
"45","FLK",1196,1,2024,7,10,"SPGR_MR","CFK09",0,"R4","CD3",24.79804,-80.68668,3227990,"NCRMP","NCRMP_NA",NA
"46","FLK",1364,1,2024,7,11,"SPGR_HR","CFK05",1,"R4","CD1",25.22039,-80.21117,3848642,"NCRMP","NCRMP_GRP",NA
